日期,因素,扰动,参数值,期望总购电费_元,实际结算总购电费_元,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,最大同时充放电量_kWh
2025-09-23,充放电效率,0.08999999999999997,0.99,118765.79806360256,107592.41160323753,53849.33800149134,21194.457843333334,17920.78286666667,0.0
2025-09-23,初始储电量,-1000.0,5000.0,122795.41959902264,110714.47372502276,57771.12657777777,21394.4624364,17920.78286666667,0.0
2025-09-23,初始储电量,0.0,6000.0,122319.60848791152,110238.66261391164,56660.015466666664,21394.4624364,17920.78286666667,0.0
2025-09-23,初始储电量,1000.0,7000.0,121844.70848791153,109763.76261391165,55548.904355555555,21394.4624364,17920.78286666667,0.0
2025-12-21,情景数量,,3.0,73074.79795782389,292094.9630098961,18762.573848148146,15341.457572222222,67450.362,0.0
2025-12-21,情景数量,,5.0,89902.48042314552,283234.72646524885,21526.357162757202,19211.621836666665,65003.65135,0.0
2025-12-21,情景数量,,7.0,120234.41391460714,265846.0820223534,26850.33633333333,25660.71967473809,60221.5311065,0.0
2025-12-21,预测误差缩放,-0.19999999999999996,0.8,74389.64878306616,266500.44004953845,26567.489715144024,15031.887688,60658.69075666666,0.0
2025-12-21,预测误差缩放,0.0,1.0,89902.48042314552,283234.72646524885,21526.357162757202,19211.621836666665,65003.65135,0.0
2025-12-21,预测误差缩放,0.19999999999999996,1.2,103960.17433938982,300568.2880960715,16099.259930658434,23169.723141333336,69626.11667666666,0.0
2025-12-21,紧急电价倍数,,3.0,57512.211673449376,174403.28314703537,20780.74552839506,19356.78349,65729.45961666667,0.0
2025-12-21,紧急电价倍数,,5.0,89902.48042314552,283234.72646524885,21526.357162757202,19211.621836666665,65003.65135,0.0
2025-12-21,紧急电价倍数,,7.0,122193.56510385353,392846.0363657489,21531.48767942387,19210.59573333333,64998.520833333336,0.0
2025-12-21,充放电效率,-0.08999999999999997,0.81,91139.63263551472,284617.13318110467,24054.345419608293,19228.003989999997,65085.56211666667,0.0
2025-12-21,充放电效率,0.0,0.9,89902.48042314552,283234.72646524885,21526.357162757202,19211.621836666665,65003.65135,0.0
2025-12-21,充放电效率,0.08999999999999997,0.99,88963.90483097627,282287.09858947294,19496.578805203175,19210.59573333333,64998.520833333336,0.0
2025-12-21,初始储电量,-1000.0,5000.0,90378.29153425664,283701.48529275326,22642.598790534983,19210.59573333333,64998.520833333336,0.0
2025-12-21,初始储电量,0.0,6000.0,89902.48042314552,283234.72646524885,21526.357162757202,19211.621836666665,65003.65135,0.0
2025-12-21,初始储电量,1000.0,7000.0,89427.58042314553,282759.8264652488,20415.24605164609,19211.621836666665,65003.65135,0.0
