日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元
2025-07-27,更新至12:00,76807.70519341563,79285.33888251027,2809.0306,48401.82787942209,2683.7361677854615,12041.037115408333,63126.60116261589
2025-07-27,更新至18:00,76807.70519341563,79285.33888251027,2809.0306,48401.82787942209,2683.7361677854624,12041.037115408333,63126.60116261589
2025-07-28,仅0:00预报,79707.7222674897,79707.7222674897,5175.3609166666665,50706.132163658636,0.0,23059.816030583333,73765.94819424197
2025-07-28,更新至6:00,79707.7222674897,81678.14426625513,4005.9419000000016,50706.132163658636,2292.7942254401787,17452.073265583338,70450.99965468215
2025-07-28,更新至12:00,79707.7222674897,81005.81896625513,4015.1449530864356,50706.132163658636,1407.9208828476803,17525.5503048519,69639.60335135822
2025-07-28,更新至18:00,79707.7222674897,81005.81896625513,4015.1449530864356,50706.132163658636,1407.9208828476803,17525.5503048519,69639.60335135822
2025-07-29,仅0:00预报,76325.38235077572,76325.38235077572,6714.862066666667,49122.87327349156,0.0,25684.9830204,74807.85629389156
2025-07-29,更新至6:00,76325.38235077572,82015.3919137757,2440.1827000000003,49122.87327349156,4097.851496080543,9279.801856775,62500.5266263471
2025-07-29,更新至12:00,76325.38235077572,82950.70378079834,2370.3085333333343,49122.87327349156,5132.572758503117,8926.713072408336,63182.15910440302
2025-07-29,更新至18:00,76325.38235077572,82950.70378079834,2370.3085333333343,49122.87327349156,5132.572758503117,8926.713072408336,63182.15910440302
2025-07-30,仅0:00预报,69431.69387674896,69431.69387674896,9696.228716666667,45294.43603177203,0.0,36944.231368425,82238.66740019702
2025-07-30,更新至6:00,69431.69387674896,78953.20393703703,3580.449866666665,45294.43603177203,7990.644921582721,13442.692258499996,66727.77321185474
2025-07-30,更新至12:00,69431.69387674896,79966.46518703703,3350.9719333333323,45294.43603177203,8854.118893627783,12795.61214650833,66944.16707190814
2025-07-30,更新至18:00,69431.69387674896,79966.46518703703,3350.9719333333323,45294.43603177203,8854.118893627783,12795.61214650833,66944.16707190814
2025-07-31,仅0:00预报,72838.80353683127,72838.80353683127,6986.29265,46985.55174257658,0.0,29212.49052059167,76198.04226316824
2025-07-31,更新至6:00,72838.80353683127,76802.97838539095,4195.776849999999,46985.55174257658,3207.051366063212,18183.37595120833,68375.97905984812
2025-07-31,更新至12:00,72838.80353683127,77979.36354567902,3823.2879999999996,46985.55174257658,4499.90478176346,16657.04971163333,68142.50623597337
2025-07-31,更新至18:00,72838.80353683127,77979.363545679,3823.2879999999996,46985.55174257658,4499.90478176346,16657.04971163333,68142.50623597337
2025-08-01,仅0:00预报,40902.11177999999,40902.11177999999,1458.5553166666666,24985.830178112334,0.0,4874.672294083333,29860.502472195665
2025-08-01,更新至6:00,40902.11177999999,40914.03206616666,2020.0364166666668,24985.830178112334,15.500863156950494,7347.660023583334,32348.99106485262
2025-08-01,更新至12:00,40902.11177999999,40912.01366616666,1456.7455999999997,24985.830178112334,12.378347896950627,4877.21424095,29875.422766959284
2025-08-01,更新至18:00,40902.11177999999,40912.01366616666,1456.7455999999997,24985.830178112334,12.378347896950842,4877.21424095,29875.422766959287
2025-08-02,仅0:00预报,40506.074016666666,40506.074016666666,1400.9496833333362,24700.34771747333,0.0,4836.950476525007,29537.298193998337
2025-08-02,更新至6:00,40506.074016666666,40506.074016666666,1623.7243666666695,24700.34771747333,0.0,5778.65170548334,30478.999422956673
2025-08-02,更新至12:00,40506.074016666666,40544.10181666666,1905.232133333335,24700.34771747333,58.829957295000455,6975.531474833335,31734.709149601666
2025-08-02,更新至18:00,40506.074016666666,40544.10181666667,1905.232133333335,24700.34771747333,58.82995729501355,6975.531474833335,31734.70914960168
2025-08-03,仅0:00预报,64525.7089,64525.7089,4804.568116666661,43203.41252014667,0.0,17930.49158619164,61133.904106338305
2025-08-03,更新至6:00,64525.7089,66620.26413168723,4947.664166666668,43203.41252014667,2242.634768467871,20453.532103708334,65899.57939232286
2025-08-03,更新至12:00,64525.7089,64607.1676,4968.859333333336,43203.41252014667,90.64579900499983,20708.905693900004,64002.964013051664
2025-08-03,更新至18:00,64525.7089,64607.167599999986,4968.859333333336,43203.41252014667,90.64579900500175,20708.905693900004,64002.96401305168
2025-08-04,仅0:00预报,69034.37046296295,69034.37046296295,4947.315399999999,45912.424613101255,0.0,21343.75983209166,67256.18444519292
2025-08-04,更新至6:00,69034.37046296295,72618.09147399176,3207.534733333332,45912.424613101255,2488.1040562045146,13700.435558899993,62100.96422820576
2025-08-04,更新至12:00,69034.37046296295,70809.51355082303,3430.608049999999,45912.424613101255,1224.1269694165703,14626.801726749994,61763.35330926782
2025-08-04,更新至18:00,69034.37046296295,70809.51355082303,3430.608049999999,45912.424613101255,1224.1269694165746,14626.801726749994,61763.353309267826
2025-08-05,仅0:00预报,65848.49826008231,65848.49826008231,6672.369533333332,43552.66120221239,0.0,25854.725591158323,69407.38679337071
2025-08-05,更新至6:00,65848.49826008231,69848.91506913581,3967.7889499999997,43552.66120221239,3000.6771450863894,16019.604464366666,62572.942811665445
2025-08-05,更新至12:00,65848.49826008231,67906.89012201646,4052.3799,43552.66120221239,1398.6567643874064,16381.2236524,61332.54161899979
2025-08-05,更新至18:00,65848.49826008231,67906.89012201646,4052.3799,43552.66120221239,1398.6567643874068,16381.2236524,61332.54161899979
2025-08-06,仅0:00预报,73485.66221790123,73485.66221790123,5797.276483333335,49012.962245920324,0.0,25144.29360668334,74157.25585260366
2025-08-06,更新至6:00,73485.66221790123,73485.66221790123,3466.2226763380127,49012.962245920324,2.4277824195451102e-14,14333.29707574551,63346.259321665835
2025-08-06,更新至12:00,73485.66221790123,74139.92669938214,3353.3028763380125,49012.962245920324,431.7743269023956,13818.169907145508,63262.906479968224
2025-08-06,更新至18:00,73485.66221790123,74139.92669938214,3353.3028763380125,49012.962245920324,431.77432690239976,13818.169907145508,63262.90647996823
2025-08-07,仅0:00预报,75908.02334423868,75908.02334423868,2186.12165,48053.512451479284,0.0,8485.452239066666,56538.96469054595
2025-08-07,更新至6:00,75908.02334423868,77136.10837469136,2789.4143443333314,48053.512451479284,1530.2632632906436,11491.772296499492,61075.54801126942
2025-08-07,更新至12:00,75908.02334423868,76912.45857757202,2799.4388776666647,48053.512451479284,1301.0956209724993,11533.268852232824,60887.876924684606
2025-08-07,更新至18:00,75908.02334423868,76912.45857757202,2799.4388776666647,48053.512451479284,1301.0956209724993,11533.268852232824,60887.876924684606
2025-08-08,仅0:00预报,39207.025299999994,39207.025299999994,1491.4242,23540.46642690833,0.0,5363.457750225001,28903.924177133333
2025-08-08,更新至6:00,39207.025299999994,39429.1584,1385.2403666666664,23540.46642690833,316.60565649000085,4966.433558466666,28823.505641864995
2025-08-08,更新至12:00,39207.025299999994,39312.6472,1383.1709166666665,23540.46642690833,142.8046218875011,4961.108576024999,28644.37962482083
2025-08-08,更新至18:00,39207.025299999994,39312.6472,1383.1709166666665,23540.46642690833,142.8046218875018,4961.108576024999,28644.37962482083
2025-08-09,仅0:00预报,39588.54283333333,39588.54283333333,1642.9139666666667,23844.259031828333,0.0,6058.648925099999,29902.90795692833
2025-08-09,更新至6:00,39588.54283333333,39605.95593333333,1758.9351000000001,23844.259031828333,21.76811630999927,6561.097248383335,30427.124396521667
